Incendios;meses;fuga_gas;emergencias_medicas;rescates;Derrame_productos;corto_circuito;servicios_especiales;accidentes_vehiculares;falsa_alarma;otros;fecha
1272;ENE;545;5000;351;5;241;556;1335;284;241;2018
1017;FEB;475;4677;427;9;240;716;1304;276;171;2018
1059;MAR;542;5404;357;6;243;735;1293;255;143;2018
937;ABR;548;5114;326;3;211;411;1076;193;163;2018
868;MAY;464;5476;279;0;0;0;0;0;0;2018
666;JUN;428;4426;0;0;0;0;0;0;0;2018
1092;ENE;559;6211;428;9;313;515;1170;220;308;2017
856;FEB;501;4907;369;11;251;527;1035;163;223;2017
826;MAR;582;5313;533;12;352;632;1069;282;384;2017
849;ABR;499;5652;317;8;236;637;1042;419;245;2017
837;MAY;468;5554;329;7;208;654;1028;290;175;2017
855;JUN;522;5289;283;4;227;672;1074;313;208;2017
1039;JUL;529;5957;318;10;212;1032;1175;283;126;2017
1218;AGO;497;5537;305;11;211;760;1228;252;167;2017
1103;SEP;562;5323;315;11;265;780;1183;337;131;2017
1139;OCT;550;5493;336;8;314;817;1211;359;241;2017
1008;NOV;533;4826;295;9;251;844;1149;340;192;2017
1292;DIC;514;5049;401;9;253;634;1336;291;255;2017
