remates;remates_al_arco;posesion;faltas;tarjetas_amarillas;tarjetas_rojas;posicion_adelantada;tiros_de_esquina;gano;pais
19;4;0.60;18;3;0;4;1;2;0
11;3;0.52;13;0;0;3;6;0;0
13;5;0.32;7;4;0;3;4;1;0
16;8;0.25;9;1;0;1;6;2;0
25;10;0.71;12;0;0;3;9;2;0
14;4;0.65;8;0;0;2;4;2;1
8;4;0.39;17;1;1;3;2;2;1
9;1;0.67;17;1;0;0;2;1;1
2;1;0.33;20;3;0;3;1;1;1
16;6;0.37;12;4;1;4;4;2;1
11;5;0.38;17;1;0;3;6;1;2
21;8;0.64;14;1;0;1;5;2;2
11;2;0.41;12;0;0;1;3;0;2
14;5;0.72;15;0;0;0;5;1;2
14;2;0.66;12;1;0;6;8;1;2
14;6;0.50;8;1;0;6;4;2;3
8;4;0.56;12;1;0;5;2;0;3
13;6;0.65;12;1;0;3;6;2;3
10;2;0.55;16;1;0;1;4;2;3
34;4;0.77;8;1;0;0;10;1;3
7;1;0.37;17;0;0;0;4;1;4
13;6;0.43;10;1;0;3;3;0;4
25;11;0.77;18;3;0;4;10;2;4
14;5;0.67;17;4;0;5;4;1;4
45;13;0.76;17;1;0;0;16;2;4
